id,label
0,0.75
1,0.28125
2,0.65625
3,0.28125
4,0.28125
5,0.65625
6,0.40625
7,0.28125
8,0.84375
9,0.8125
10,0.96875
11,0.28125
12,0.3125
13,0.46875
14,0.3125
15,0.625
16,0.28125
17,0.46875
18,0.375
19,0.28125
20,0.28125
21,1
22,0.78125
23,1
24,0.28125
25,0.625
26,0.71875
27,0.96875
28,0.78125
29,0.3125
30,0.6875
31,0.59375
32,0.78125
33,0.78125
34,0.46875
35,0.28125
36,0.75
37,0.6875
38,0.65625
39,0.8125
40,0.78125
41,0.4375
42,0.5
43,1
44,0.75
45,0.28125
46,0.59375
47,0.5
48,0.71875
49,0.9375
50,0.28125
51,0.40625
52,0.40625
53,0.28125
54,0.5625
55,0.28125
56,0.75
57,0.3125
58,0.28125
59,0.28125
60,0.96875
61,0.28125
62,0.65625
63,0.78125
64,0.875
65,1
66,1
67,0.65625
68,0.53125
69,0.4375
70,0.375
71,0.5625
72,0.5
73,0.3125
74,0.28125
75,0.90625
76,0.28125
77,0.28125
78,0.34375
79,0.84375
80,0.96875
81,0.96875
82,0.90625
83,0.78125
84,0.4375
85,0.8125
86,0.28125
87,0.625
88,0.28125
89,0.78125
90,0.40625
91,0.875
92,0.78125
93,0.5
94,0.53125
95,0.625
96,0.84375
97,0.625
98,0.5625
99,0.40625
100,0.3125
101,0.46875
102,0.34375
103,1
104,0.875
105,0.46875
106,1
107,0.84375
108,0.4375
109,0.9375
110,0.46875
111,0.28125
112,0.75
113,0.6875
114,0.34375
115,0.28125
116,0.4375
117,0.71875
118,1
119,0.75
120,0.28125
121,0.5
122,0.34375
123,0.4375
124,0.84375
125,0.625
126,0.46875
127,1
128,0.28125
129,0.28125
130,0.875
131,0.375
132,1
133,0.5
134,0.28125
135,0.3125
136,0.46875
137,0.75
138,0.3125
139,0.28125
140,0.8125
141,1
142,0.28125
143,0.8125
144,0.34375
145,0.5
146,0.96875
147,0.9375
148,0.34375
149,0.375
150,0.8125
151,0.28125
152,1
153,0.4375
154,0.40625
