id,label
0,0
1,0
2,0.0078125
3,0
4,0
5,0.0078125
6,0
7,0
8,0.0078125
9,0.0078125
10,0.0078125
11,0
12,0
13,0
14,0
15,0.0078125
16,0
17,0
18,0
19,0
20,0
21,0.0078125
22,0.0078125
23,0.0078125
24,0
25,0.0078125
26,0.0078125
27,0.0078125
28,0
29,0
30,0.0078125
31,0.0078125
32,0.0078125
33,0.0078125
34,0
35,0
36,0
37,0.0078125
38,0
39,0.0078125
40,0.0078125
41,0
42,0.0078125
43,0.0078125
44,0.0078125
45,0
46,0.0078125
47,0
48,0.0078125
49,0.0078125
50,0
51,0
52,0
53,0
54,0
55,0
56,0.0078125
57,0
58,0
59,0
60,0.0078125
61,0
62,0
63,0.0078125
64,0.0078125
65,0.0078125
66,0.0078125
67,0
68,0
69,0.0078125
70,0
71,0.0078125
72,0
73,0
74,0
75,0.0078125
76,0
77,0
78,0
79,0.0078125
80,0.0078125
81,0.0078125
82,0.0078125
83,0.0078125
84,0
85,0.0078125
86,0
87,0.0078125
88,0
89,0.0078125
90,0
91,0.0078125
92,0.0078125
93,0
94,0
95,0.0078125
96,0.0078125
97,0
98,0.0078125
99,0
100,0
101,0
102,0
103,0.0078125
104,0.0078125
105,0
106,0.0078125
107,0.0078125
108,0
109,0.0078125
110,0
111,0
112,0.0078125
113,0.0078125
114,0
115,0
116,0.0078125
117,0.0078125
118,0.0078125
119,0.0078125
120,0
121,0.0078125
122,0
123,0
124,0.0078125
125,0.0078125
126,0
127,0.0078125
128,0
129,0
130,0.0078125
131,0
132,0.0078125
133,0
134,0
135,0
136,0.0078125
137,0.0078125
138,0.0078125
139,0
140,0.0078125
141,0.0078125
142,0
143,0.0078125
144,0
145,0
146,0.0078125
147,0.0078125
148,0
149,0
150,0.0078125
151,0
152,0.0078125
153,0
154,0
155,0
156,0.0078125
157,0.0078125
158,0.0078125
159,0
160,0
161,0.0078125
162,0
163,0.0078125
164,0
165,0.0078125
166,0
167,0.0078125
168,0
169,0
170,0.0078125
171,0.0078125
172,0.0078125
173,0.0078125
174,0
175,0
176,0
177,0
178,0.0078125
179,0
180,0
181,0
182,0.0078125
183,0
184,0
185,0.0078125
186,0
187,0.0078125
188,0.0078125
189,0.0078125
190,0
191,0.0078125
192,0.0078125
193,0
194,0.0078125
195,0
196,0.0078125
197,0.0078125
198,0
199,0.0078125
200,0.0078125
201,0.0078125
202,0
203,0.0078125
204,0
205,0
206,0
207,0.0078125
208,0.0078125
209,0
210,0.0078125
211,0
212,0.0078125
213,0
214,0.0078125
215,0.0078125
216,0.0078125
217,0
218,0.0078125
219,0
220,0.0078125
221,0.0078125
222,0
223,0.0078125
224,0
225,0.0078125
226,0.0078125
227,0.0078125
228,0
229,0.0078125
230,0.0078125
231,0
232,0
233,0.0078125
234,0
235,0.0078125
236,0.0078125
237,0
238,0
239,0.0078125
240,0
241,0
242,0.0078125
243,0.0078125
244,0.0078125
245,0.0078125
246,0.0078125
247,0.0078125
248,0
249,0.0078125
250,0
251,0.0078125
252,0
253,0.0078125
254,0
255,0
256,0
257,0.0078125
258,0.0078125
259,0
260,0
261,0.0078125
262,0.0078125
263,0.0078125
264,0.0078125
265,0
266,0
267,0
268,0.0078125
269,0.0078125
270,0.0078125
271,0
272,0
273,0
274,0.0078125
275,0.0078125
276,0.0078125
277,0
278,0
279,0.0078125
280,0
281,0
282,0
283,0
284,0.0078125
285,0
286,0.0078125
287,0
288,0.0078125
289,0.0078125
290,0.0078125
291,0
292,0
293,0
294,0
295,0
296,0
297,0.0078125
298,0
299,0.0078125
300,0.0078125
301,0
302,0
303,0.0078125
304,0
305,0.0078125
306,0.0078125
307,0.0078125
308,0
309,0.0078125
310,0
311,0
312,0.0078125
313,0
314,0
315,0
316,0
317,0
318,0
319,0.0078125
320,0.0078125
321,0
322,0
323,0
324,0.0078125
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0.0078125
333,0.0078125
334,0
335,0
336,0
337,0
338,0.0078125
339,0
340,0
341,0
342,0.0078125
343,0.0078125
344,0.0078125
345,0.0078125
346,0.0078125
347,0
348,0.0078125
349,0.0078125
350,0.0078125
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
